Latitude (deg.): 45.181
Longitude (deg.): 5.714

A		H_hor		A_sun(w)		H_sun(w)		A_sun(s)		H_sun(s)
-180.0		7.6		-180.0		0.0		-180.0		0.0
-172.5		6.1		-161.8		0.0		-172.6		0.0
-165.0		7.6		-145.7		0.0		-165.4		0.0
-157.5		8.8		-132.4		0.0		-158.3		0.0
-150.0		8.4		-121.7		0.0		-151.5		0.0
-142.5		6.5		-112.9		0.0		-145.0		0.0
-135.0		2.3		-105.5		0.0		-138.8		0.0
-127.5		1.9		-99.0		0.0		-132.9		0.0
-120.0		3.1		-93.2		0.0		-127.3		0.0
-112.5		3.8		-87.9		0.0		-122.0		2.0
-105.0		5.0		-82.8		0.0		-116.9		6.6
-97.5		5.7		-77.9		0.0		-111.9		11.4
-90.0		6.5		-73.0		0.0		-107.0		16.4
-82.5		7.3		-68.1		0.0		-102.1		21.5
-75.0		6.9		-63.1		0.0		-97.2		26.7
-67.5		7.3		-58.0		0.0		-92.1		32.0
-60.0		6.1		-52.7		2.4		-86.8		37.3
-52.5		5.0		-47.1		6.4		-81.0		42.5
-45.0		6.1		-41.2		10.1		-74.5		47.7
-37.5		5.0		-35.0		13.3		-67.1		52.7
-30.0		4.2		-28.5		16.1		-58.3		57.4
-22.5		4.2		-21.7		18.4		-47.6		61.6
-15.0		2.3		-14.6		20.0		-34.3		65.1
-7.5		4.2		-7.4		21.0		-18.2		67.4
0.0		3.1		0.0		21.4		0.0		68.3
7.5		1.5		7.4		21.0		18.2		67.4
15.0		1.9		14.6		20.0		34.3		65.1
22.5		4.2		21.7		18.4		47.6		61.6
30.0		5.0		28.5		16.1		58.3		57.4
37.5		7.6		35.0		13.3		67.1		52.7
45.0		8.4		41.2		10.1		74.5		47.7
52.5		11.5		47.1		6.4		81.0		42.5
60.0		13.4		52.7		2.4		86.8		37.3
67.5		11.8		58.0		0.0		92.1		32.0
75.0		8.8		63.1		0.0		97.2		26.7
82.5		8.4		68.1		0.0		102.1		21.5
90.0		8.8		73.0		0.0		107.0		16.4
97.5		9.2		77.9		0.0		111.9		11.4
105.0		9.2		82.8		0.0		116.9		6.6
112.5		8.8		87.9		0.0		122.0		2.0
120.0		8.4		93.2		0.0		127.3		0.0
127.5		6.1		99.0		0.0		132.9		0.0
135.0		3.1		105.5		0.0		138.8		0.0
142.5		2.7		112.9		0.0		145.0		0.0
150.0		1.1		121.7		0.0		151.5		0.0
157.5		1.5		132.4		0.0		158.3		0.0
165.0		5.3		145.7		0.0		165.4		0.0
172.5		7.3		161.8		0.0		172.6		0.0
180.0		7.6		180.0		0.0		180.0		0.0

A: Azimuth (0 = S, 90 = W, -90 = E) (degree)
H_hor: Horizon height (degree)
A_sun(w): Sun azimuth in the winter solstice (Dec 21) (0 = S, 90 = W, -90 = E) (degree)
H_sun(w): Sun height in the winter solstice (Dec 21) (degree)
A_sun(s): Sun azimuth in the summer solstice (June 21) (0 = S, 90 = W, -90 = E) (degree)
H_sun(s): Sun height in the summer solstice (June 21) (degree)

PVGIS (c) European Union, 2001-2023
