,Observation period,ghi_extra,ghi_clear,bhi_clear,dhi_clear,dni_clear,ghi,bhi,dhi,dni,Reliability
2022-01-01 00:00:00+00:00,2022-01-01T00:00:00.0/2022-01-01T01:00:00.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2022-01-01 01:00:00+00:00,2022-01-01T01:00:00.0/2022-01-01T02:00:00.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2022-01-01 02:00:00+00:00,2022-01-01T02:00:00.0/2022-01-01T03:00:00.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2022-01-01 03:00:00+00:00,2022-01-01T03:00:00.0/2022-01-01T04:00:00.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2022-01-01 04:00:00+00:00,2022-01-01T04:00:00.0/2022-01-01T05:00:00.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2022-01-01 05:00:00+00:00,2022-01-01T05:00:00.0/2022-01-01T06:00:00.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2022-01-01 06:00:00+00:00,2022-01-01T06:00:00.0/2022-01-01T07:00:00.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2022-01-01 07:00:00+00:00,2022-01-01T07:00:00.0/2022-01-01T08:00:00.0,2.5582,0.6882,0.0808,0.6074,1.1661,0.6882,0.0808,0.6074,1.1661,0.925
2022-01-01 08:00:00+00:00,2022-01-01T08:00:00.0/2022-01-01T09:00:00.0,121.5094,59.1956,33.7021,25.4935,337.403,59.1956,33.7021,25.4935,337.403,0.7167
2022-01-01 09:00:00+00:00,2022-01-01T09:00:00.0/2022-01-01T10:00:00.0,275.2233,168.2155,120.5374,47.6781,610.7193,150.5869,89.5794,61.0075,471.0327,1.0
2022-01-01 10:00:00+00:00,2022-01-01T10:00:00.0/2022-01-01T11:00:00.0,382.0627,252.1268,192.0077,60.1192,706.5094,248.1986,184.7669,63.4317,677.5654,1.0
2022-01-01 11:00:00+00:00,2022-01-01T11:00:00.0/2022-01-01T12:00:00.0,434.7508,294.2398,227.2887,66.9511,735.9725,281.0088,196.1014,84.9074,633.1003,1.0
2022-01-01 12:00:00+00:00,2022-01-01T12:00:00.0/2022-01-01T13:00:00.0,429.6991,289.2967,221.7659,67.5307,726.3911,288.865,221.0107,67.8544,723.7922,1.0
2022-01-01 13:00:00+00:00,2022-01-01T13:00:00.0/2022-01-01T14:00:00.0,367.2527,237.9415,176.4843,61.4572,674.8492,225.3259,154.58,70.7458,596.6607,1.0
2022-01-01 14:00:00+00:00,2022-01-01T14:00:00.0/2022-01-01T15:00:00.0,251.6666,147.1628,98.9889,48.1738,544.8499,147.1628,98.9889,48.1738,544.8499,1.0
2022-01-01 15:00:00+00:00,2022-01-01T15:00:00.0/2022-01-01T16:00:00.0,90.824,39.9784,19.0528,20.9257,214.4652,39.9784,19.0528,20.9257,214.4652,0.7833
2022-01-01 16:00:00+00:00,2022-01-01T16:00:00.0/2022-01-01T17:00:00.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2022-01-01 17:00:00+00:00,2022-01-01T17:00:00.0/2022-01-01T18:00:00.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2022-01-01 18:00:00+00:00,2022-01-01T18:00:00.0/2022-01-01T19:00:00.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2022-01-01 19:00:00+00:00,2022-01-01T19:00:00.0/2022-01-01T20:00:00.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2022-01-01 20:00:00+00:00,2022-01-01T20:00:00.0/2022-01-01T21:00:00.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2022-01-01 21:00:00+00:00,2022-01-01T21:00:00.0/2022-01-01T22:00:00.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2022-01-01 22:00:00+00:00,2022-01-01T22:00:00.0/2022-01-01T23:00:00.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2022-01-01 23:00:00+00:00,2022-01-01T23:00:00.0/2022-01-02T00:00:00.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2022-01-02 00:00:00+00:00,2022-01-02T00:00:00.0/2022-01-02T01:00:00.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
