,i_dc,v_dc,p_dc,p_ac
2020-07-01 00:00:00+02:00,0.0,,0.0,0.0
2020-07-01 01:00:00+02:00,0.0,,0.0,0.0
2020-07-01 02:00:00+02:00,0.0,,0.0,0.0
2020-07-01 03:00:00+02:00,0.0,,0.0,0.0
2020-07-01 04:00:00+02:00,0.0,,0.0,0.0
2020-07-01 05:00:00+02:00,0.0,,0.0,0.0
2020-07-01 06:00:00+02:00,0.0,,0.0,0.0
2020-07-01 07:00:00+02:00,0.01847750865051903,200.0,3.695501730103806,0.0
2020-07-01 08:00:00+02:00,6.359978997899791,618.2018201820182,3931.750592821059,3768.312652928763
2020-07-01 09:00:00+02:00,7.9747677376433295,611.4011401140115,4875.782086939567,4713.95775757435
2020-07-01 10:00:00+02:00,16.91999099909991,603.000300030003,10202.759648962196,10031.621627291526
2020-07-01 11:00:00+02:00,23.101537653765376,589.95899589959,13628.959957951993,13435.295753494996
2020-07-01 12:00:00+02:00,5.6999959350773794,604.2004200420042,3443.9399382114693,3279.2830775460984
2020-07-01 13:00:00+02:00,14.579989635327172,603.8003800380038,8803.403282760702,8637.742331649079
2020-07-01 14:00:00+02:00,12.779992713557071,603.4003400340034,7711.451948992423,7548.564934390397
2020-07-01 15:00:00+02:00,13.919069445406079,603.2403240324032,8396.543962476286,8232.070263746773
2020-07-01 16:00:00+02:00,1.979867848853851,583.2383238323832,1154.7348055751463,980.8525974306353
2020-07-01 17:00:00+02:00,9.839983665033168,609.8009800980099,6000.431683085633,5839.246893936218
2020-07-01 18:00:00+02:00,16.200994099409943,602.3602360236024,9758.834629537563,9589.66798722601
2020-07-01 19:00:00+02:00,13.679985498549856,605.8005800580058,8287.34315020661,8123.157037063356
2020-07-01 20:00:00+02:00,4.3079977997799785,603.080308030803,2598.0686400873315,2430.676132879699
2020-07-01 21:00:00+02:00,0.3000000193880455,598.999899989999,179.69998161043702,0.133559489668129
2020-07-01 22:00:00+02:00,0.0,,0.0,0.0
2020-07-01 23:00:00+02:00,0.0,,0.0,0.0
2020-07-02 00:00:00+02:00,0.0,,0.0,0.0
2020-07-02 01:00:00+02:00,0.0,,0.0,0.0
2020-07-02 02:00:00+02:00,0.0,,0.0,0.0
2020-07-02 03:00:00+02:00,0.0,,0.0,0.0
2020-07-02 04:00:00+02:00,0.0,,0.0,0.0
2020-07-02 05:00:00+02:00,0.0,,0.0,0.0
2020-07-02 06:00:00+02:00,0.0,,0.0,0.0
2020-07-02 07:00:00+02:00,1.3798854642745828,593.2393239323933,818.6023199303902,642.8789527803942
2020-07-02 08:00:00+02:00,1.0199189271445133,575.6375637563756,587.1036464504839,410.0397960259668
2020-07-02 09:00:00+02:00,5.208336376494792,607.5607560756075,3164.380786799266,2998.9070916281025
2020-07-02 10:00:00+02:00,30.660161016101615,567.7967796779678,17408.740689350467,17175.20780872394
2020-07-02 11:00:00+02:00,40.743426342634265,543.1543154315432,22129.967843469018,21824.506485797272
2020-07-02 12:00:00+02:00,46.50051455145514,531.3931393139314,24710.054407210897,24354.898300688794
2020-07-02 13:00:00+02:00,38.097356735673564,552.4352435243525,21046.322545905954,20759.544094122237
2020-07-02 14:00:00+02:00,30.480167016701667,566.5966596659666,17269.960817723935,17038.170379060695
2020-07-02 15:00:00+02:00,14.759012901290125,594.8394839483949,8779.24361779112,8613.65826472694
2020-07-02 16:00:00+02:00,9.11999699969997,601.8001800180018,5488.415836183078,5327.112839761087
2020-07-02 17:00:00+02:00,19.621233723372338,588.7588758875888,11552.175510500347,11373.710704911782
2020-07-02 18:00:00+02:00,8.45999309930993,604.6004600460046,5114.9157198288085,4953.344132855643
2020-07-02 19:00:00+02:00,18.60001740174018,594.1994199419942,11052.11955102501,10876.604031703368
2020-07-02 20:00:00+02:00,2.414920654227585,595.7195719571957,1438.615498447048,1266.1911937808923
2020-07-02 21:00:00+02:00,1.799015963452015,581.7181718171817,1046.520277329232,872.0589253879448
2020-07-02 22:00:00+02:00,0.0,,0.0,0.0
2020-07-02 23:00:00+02:00,0.0,,0.0,0.0
2020-07-03 00:00:00+02:00,0.0,,0.0,0.0
2020-07-03 01:00:00+02:00,0.0,,0.0,0.0
2020-07-03 02:00:00+02:00,0.0,,0.0,0.0
2020-07-03 03:00:00+02:00,0.0,,0.0,0.0
2020-07-03 04:00:00+02:00,0.0,,0.0,0.0
2020-07-03 05:00:00+02:00,0.0,,0.0,0.0
2020-07-03 06:00:00+02:00,0.0,,0.0,0.0
2020-07-03 07:00:00+02:00,0.5400083330592196,581.958195819582,314.2622752346834,135.54267654324457
2020-07-03 08:00:00+02:00,4.620256558989233,615.1615161516152,2842.204029837261,2675.6820847332474
2020-07-03 09:00:00+02:00,8.699978697869785,614.2014201420143,5343.5392714368945,5182.150354457476
2020-07-03 10:00:00+02:00,12.239978997899788,609.8009800980099,7463.951189298347,7301.510123504556
2020-07-03 11:00:00+02:00,17.818798679867985,600.4400440044005,10699.120263445488,10525.520668649895
2020-07-03 12:00:00+02:00,42.72344434443444,540.7540754075408,23102.876644700173,22779.538353574128
2020-07-03 13:00:00+02:00,31.74018501850185,562.996299629963,17869.60671498693,17630.13508391961
2020-07-03 14:00:00+02:00,43.38046654665466,537.7937793779379,23329.74505530361,23002.088039515416
2020-07-03 15:00:00+02:00,40.14031083108311,548.1948194819482,22004.7104499949,21701.47481919901
2020-07-03 16:00:00+02:00,48.71666366636664,533.6333633363337,25996.837082808197,25614.152861529692
2020-07-03 17:00:00+02:00,43.68337533753375,549.95499549955,24023.890487158526,23682.66703904133
2020-07-03 18:00:00+02:00,27.121774463160605,585.958595859586,15892.236881653966,15676.59236874601
