,ghi,dhi,dni
2022-01-01 00:00:00+00:00,0.0,0.0,0.0
2022-01-01 01:00:00+00:00,0.0,0.0,0.0
2022-01-01 02:00:00+00:00,0.0,0.0,0.0
2022-01-01 03:00:00+00:00,0.0,0.0,0.0
2022-01-01 04:00:00+00:00,0.0,0.0,0.0
2022-01-01 05:00:00+00:00,0.0,0.0,0.0
2022-01-01 06:00:00+00:00,0.0,0.0,0.0
2022-01-01 07:00:00+00:00,0.6882,0.6074,1.1661
2022-01-01 08:00:00+00:00,59.1956,25.4935,337.403
2022-01-01 09:00:00+00:00,150.5869,61.0075,471.0327
2022-01-01 10:00:00+00:00,248.1986,63.4317,677.5654
2022-01-01 11:00:00+00:00,281.0088,84.9074,633.1003
2022-01-01 12:00:00+00:00,288.865,67.8544,723.7922
2022-01-01 13:00:00+00:00,225.3259,70.7458,596.6607
2022-01-01 14:00:00+00:00,147.1628,48.1738,544.8499
2022-01-01 15:00:00+00:00,39.9784,20.9257,214.4652
2022-01-01 16:00:00+00:00,0.0,0.0,0.0
2022-01-01 17:00:00+00:00,0.0,0.0,0.0
2022-01-01 18:00:00+00:00,0.0,0.0,0.0
2022-01-01 19:00:00+00:00,0.0,0.0,0.0
2022-01-01 20:00:00+00:00,0.0,0.0,0.0
2022-01-01 21:00:00+00:00,0.0,0.0,0.0
2022-01-01 22:00:00+00:00,0.0,0.0,0.0
2022-01-01 23:00:00+00:00,0.0,0.0,0.0
2022-01-02 00:00:00+00:00,0.0,0.0,0.0
2022-01-02 01:00:00+00:00,0.0,0.0,0.0
2022-01-02 02:00:00+00:00,0.0,0.0,0.0
2022-01-02 03:00:00+00:00,0.0,0.0,0.0
2022-01-02 04:00:00+00:00,0.0,0.0,0.0
2022-01-02 05:00:00+00:00,0.0,0.0,0.0
2022-01-02 06:00:00+00:00,0.0,0.0,0.0
2022-01-02 07:00:00+00:00,0.6688,0.624,0.6575
2022-01-02 08:00:00+00:00,57.7101,27.9137,290.5735
2022-01-02 09:00:00+00:00,162.0216,52.6056,548.933
2022-01-02 10:00:00+00:00,144.7979,89.2634,218.978
2022-01-02 11:00:00+00:00,103.3001,102.8727,1.3593
2022-01-02 12:00:00+00:00,172.7312,157.3596,50.226
2022-01-02 13:00:00+00:00,156.3832,103.9431,190.7617
2022-01-02 14:00:00+00:00,101.1084,85.2124,101.5838
2022-01-02 15:00:00+00:00,34.1859,30.6605,31.4576
2022-01-02 16:00:00+00:00,0.0,0.0,0.0
2022-01-02 17:00:00+00:00,0.0,0.0,0.0
2022-01-02 18:00:00+00:00,0.0,0.0,0.0
2022-01-02 19:00:00+00:00,0.0,0.0,0.0
2022-01-02 20:00:00+00:00,0.0,0.0,0.0
2022-01-02 21:00:00+00:00,0.0,0.0,0.0
2022-01-02 22:00:00+00:00,0.0,0.0,0.0
2022-01-02 23:00:00+00:00,0.0,0.0,0.0
2022-01-03 00:00:00+00:00,0.0,0.0,0.0
2022-01-03 01:00:00+00:00,0.0,0.0,0.0
2022-01-03 02:00:00+00:00,0.0,0.0,0.0
2022-01-03 03:00:00+00:00,0.0,0.0,0.0
2022-01-03 04:00:00+00:00,0.0,0.0,0.0
2022-01-03 05:00:00+00:00,0.0,0.0,0.0
2022-01-03 06:00:00+00:00,0.0,0.0,0.0
2022-01-03 07:00:00+00:00,0.5103,0.5101,0.0035
2022-01-03 08:00:00+00:00,42.2864,41.8137,4.0343
2022-01-03 09:00:00+00:00,112.7915,105.8724,36.847
2022-01-03 10:00:00+00:00,65.8393,65.5209,1.2948
2022-01-03 11:00:00+00:00,117.2767,112.405,15.4312
2022-01-03 12:00:00+00:00,133.2279,126.7045,20.8304
2022-01-03 13:00:00+00:00,103.6667,63.4886,158.3486
2022-01-03 14:00:00+00:00,90.5857,89.5732,5.1664
2022-01-03 15:00:00+00:00,25.5026,25.4918,0.0872
2022-01-03 16:00:00+00:00,0.0075,0.0075,0.0
2022-01-03 17:00:00+00:00,0.0,0.0,0.0
2022-01-03 18:00:00+00:00,0.0,0.0,0.0
2022-01-03 19:00:00+00:00,0.0,0.0,0.0
2022-01-03 20:00:00+00:00,0.0,0.0,0.0
2022-01-03 21:00:00+00:00,0.0,0.0,0.0
2022-01-03 22:00:00+00:00,0.0,0.0,0.0
2022-01-03 23:00:00+00:00,0.0,0.0,0.0
2022-01-04 00:00:00+00:00,0.0,0.0,0.0
2022-01-04 01:00:00+00:00,0.0,0.0,0.0
